experimento,modelo,features,peso,params,n_features,macro_f1,accuracy,N_Se,N_+P,N_F1,S_Se,S_+P,S_F1,V_Se,V_+P,V_F1,F_Se,F_+P,F_F1
feat:rr+morph+wave,xgb,rr+morph+wave,1.0,{},41,0.4930682205084574,0.8969569738468481,0.9155246159217877,0.9798439835575485,0.9465929602888087,0.31919406150583246,0.4446085672082718,0.37160493827160496,0.9142027455121436,0.5091898250257315,0.6540749834734159,0.0,0.0,0.0
peso:1.0,xgb,rr+morph+wave,1.0,{},41,0.4930682205084574,0.8969569738468481,0.9155246159217877,0.9798439835575485,0.9465929602888087,0.31919406150583246,0.4446085672082718,0.37160493827160496,0.9142027455121436,0.5091898250257315,0.6540749834734159,0.0,0.0,0.0
xgb:d6_mcw1_n300,xgb,rr+morph+wave,1.0,"{'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 300, 'learning_rate': 0.1}",41,0.4930682205084574,0.8969569738468481,0.9155246159217877,0.9798439835575485,0.9465929602888087,0.31919406150583246,0.4446085672082718,0.37160493827160496,0.9142027455121436,0.5091898250257315,0.6540749834734159,0.0,0.0,0.0
feat:rr_ratios+morph,xgb,rr_ratios+morph,1.0,{},18,0.49084903533726476,0.8831446565559458,0.9012307960893855,0.9736190678265789,0.9360274702235922,0.3404029692470838,0.3844311377245509,0.3610798650168729,0.8928194297782471,0.5116490166414523,0.6505097134064243,0.028985507246376812,0.01084010840108401,0.015779092702169626
feat:rr+morph,xgb,rr+morph,1.0,{},20,0.48942601530677654,0.890855225725441,0.9098725558659218,0.9756405756405756,0.9416095484366355,0.3372216330858961,0.3710618436406068,0.35333333333333333,0.895987328405491,0.5258754260923458,0.6627611794571373,0.0,0.0,0.0
xgb:d6_mcw1_n600,xgb,rr+morph+wave,1.0,"{'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 600, 'learning_rate': 0.05}",41,0.4893336467484838,0.8967411563891777,0.9155682611731844,0.9793645976796844,0.9463925199914283,0.30858960763520676,0.4323922734026746,0.36014851485148514,0.9131467793030623,0.5031272727272728,0.6487855200225078,0.0024154589371980675,0.001718213058419244,0.002008032128514056
xgb:d3_mcw1_n600,xgb,rr+morph+wave,1.0,"{'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 600, 'learning_rate': 0.05}",41,0.48896543056117303,0.8863622986521219,0.9027802025139665,0.9808193845132533,0.9401831776550533,0.37751855779427357,0.37791932059447986,0.3777188328912467,0.91129883843717,0.4907591697469434,0.6379597116983922,0.0,0.0,0.0
xgb:d6_mcw20_n600,xgb,rr+morph+wave,1.0,"{'max_depth': 6, 'min_child_weight': 20, 'n_estimators': 600, 'learning_rate': 0.05}",41,0.4878437546914976,0.8910710431831113,0.9083449720670391,0.9806111150375763,0.9430956939425179,0.34994697773064687,0.37585421412300685,0.3624382207578254,0.9142027455121436,0.4992791234140715,0.6458411040656471,0.0,0.0,0.0
rf:leaf5_dNone,rf,rr+morph+wave,1.0,"{'min_samples_leaf': 5, 'max_depth': None}",41,0.48695875807099515,0.8907767466499245,0.9080176326815642,0.9798422230071824,0.9425636262728087,0.35949098621421,0.38610478359908884,0.3723228995057661,0.9118268215417107,0.48470390120684814,0.6329485065054059,0.0,0.0,0.0
rf:leaf5_d15,rf,rr+morph+wave,1.0,"{'min_samples_leaf': 5, 'max_depth': 15}",41,0.4862952738128886,0.8896584198238144,0.9066864525139665,0.9801137033804346,0.9419713200702828,0.3647932131495228,0.38011049723756907,0.3722943722943723,0.9115628299894404,0.4823973176865046,0.6309154028868993,0.0,0.0,0.0
xgb:d3_mcw20_n600,xgb,rr+morph+wave,1.0,"{'max_depth': 3, 'min_child_weight': 20, 'n_estimators': 600, 'learning_rate': 0.05}",41,0.48519627091673917,0.8833997135513744,0.8993540502793296,0.9808877781744615,0.9383531233279068,0.3753976670201485,0.35939086294416245,0.36721991701244816,0.9134107708553326,0.48691246833661694,0.6352120433266017,0.0,0.0,0.0
peso:0.5,xgb,rr+morph+wave,0.5,{},41,0.4840387234616012,0.9031372010437717,0.9238172136871509,0.9774416993765874,0.9498732245832118,0.26193001060445387,0.4186440677966102,0.3222439660795825,0.91129883843717,0.5223180511423816,0.6640377031836107,0.0,0.0,0.0
feat:rr_ratios+morph+wave,xgb,rr_ratios+morph+wave,1.0,{},39,0.48378237064401636,0.8894426023661441,0.9074502444134078,0.9754398311048558,0.9402175141881656,0.32025450689289503,0.3852040816326531,0.3497394325419803,0.9094508975712777,0.4896943852167733,0.6366072253534141,0.00966183574879227,0.007692307692307693,0.008565310492505354
rf:leaf1_d15,rf,rr+morph+wave,1.0,"{'min_samples_leaf': 1, 'max_depth': 15}",41,0.4828924245074667,0.9061978849889148,0.9274834148044693,0.975755906054136,0.9510074848122084,0.24814422057264052,0.45,0.3198906356801094,0.9115628299894404,0.51807951987997,0.660671577537549,0.0,0.0,0.0
xgb:d3_mcw1_n300,xgb,rr+morph+wave,1.0,"{'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300, 'learning_rate': 0.1}",41,0.4826920911193245,0.8837921089289568,0.8997468575418994,0.9807792949236405,0.9385172201862011,0.37751855779427357,0.3510848126232742,0.36382217680122636,0.9131467793030623,0.47690610781745485,0.6265736799202971,0.0024154589371980675,0.0015060240963855422,0.0018552875695732839
xgb:d6_mcw20_n300,xgb,rr+morph+wave,1.0,"{'max_depth': 6, 'min_child_weight': 20, 'n_estimators': 300, 'learning_rate': 0.1}",41,0.48153439465423015,0.8885989523043418,0.9057480796089385,0.9804871134629468,0.9416368895695083,0.3425238600212089,0.35300546448087433,0.34768568353067814,0.9142027455121436,0.4885722347629797,0.6368150055167341,0.0,0.0,0.0
peso:0.0,xgb,rr+morph+wave,0.0,{},41,0.48142695731976926,0.9050206988561674,0.9266323324022346,0.9753083584077911,0.9503474670158123,0.23966065747614,0.4312977099236641,0.30811179277436945,0.9081309398099261,0.5273647094894987,0.6672485694888953,0.0,0.0,0.0
xgb:d3_mcw20_n300,xgb,rr+morph+wave,1.0,"{'max_depth': 3, 'min_child_weight': 20, 'n_estimators': 300, 'learning_rate': 0.1}",41,0.47999180395717683,0.8800054935352861,0.8955787360335196,0.9807384394790297,0.9362260320067527,0.3743372216330859,0.33877159309021115,0.3556675062972292,0.9136747624076029,0.4785013134245818,0.6280736775247255,0.0,0.0,0.0
rf:leaf20_d15,rf,rr+morph+wave,1.0,"{'min_samples_leaf': 20, 'max_depth': 15}",41,0.4740389423844046,0.8730797151209558,0.8872861382681564,0.9832652172861599,0.9328133065672498,0.4135737009544008,0.2691511387163561,0.32608695652173914,0.910506863780359,0.48700931940129905,0.634590616375345,0.004830917874396135,0.0018399264029438822,0.002664890073284477
rf:leaf20_dNone,rf,rr+morph+wave,1.0,"{'min_samples_leaf': 20, 'max_depth': None}",41,0.47341342767608624,0.8728246581255272,0.8870024441340782,0.9832837409584634,0.9326648386319569,0.41251325556733826,0.26444595513256286,0.32228666114333054,0.9107708553326294,0.4886685552407932,0.6360619469026548,0.004830917874396135,0.0018165304268846503,0.0026402640264026403
rf:leaf1_dNone,rf,rr+morph+wave,1.0,"{'min_samples_leaf': 1, 'max_depth': None}",41,0.46861969045589014,0.9065902803664972,0.9290109986033519,0.9742539362870744,0.9510947274352101,0.19300106044538706,0.40176600441501104,0.2607449856733524,0.912090813093981,0.5203313253012049,0.6626390487149981,0.0,0.0,0.0
feat:rr_ratios,xgb,rr_ratios,1.0,{},2,0.393798951557221,0.7738625438992328,0.8035527234636871,0.9771774321957434,0.8819007017459823,0.2926829268292683,0.0543200157449321,0.09163346613545817,0.6174762407602957,0.5816960954986322,0.599052375464208,0.014492753623188406,0.0014336917562724014,0.002609262883235486
feat:morph,xgb,morph,1.0,{},16,0.3924372841458631,0.785712884302223,0.7944526885474861,0.9711625673584805,0.8739647101188333,0.35100742311770944,0.17275574112734865,0.23154949282966072,0.8727560718057022,0.30902972518227706,0.45644070136683695,0.012077294685990338,0.005753739930955121,0.00779423226812159
feat:rr,xgb,rr,1.0,{},4,0.3877336116340542,0.8650552296493947,0.9076248254189944,0.9715480389637693,0.9384992045851996,0.1071049840933192,0.06999306999306999,0.08466051969823973,0.6333157338965153,0.45238544220252686,0.5277747222527774,0.0,0.0,0.0
