experimento,semilla,rr,balance,macro_f1,accuracy,N_Se,N_+P,N_F1,S_Se,S_+P,S_F1,V_Se,V_+P,V_F1,F_Se,F_+P,F_F1,augment,invert
rr_all,42,all,weights,0.43753707619760096,0.8101198767878515,0.825899092178771,0.9711822217660191,0.8926680268418383,0.3944856839872747,0.17318435754189945,0.24069880297638305,0.8107180570221753,0.49644358228257357,0.6158010828153199,0.004830917874396135,0.0005455537370430987,0.000980392156862745,,
rr_all,7,all,weights,0.42318901203191744,0.7950518942886853,0.8013486382681564,0.9790178095339661,0.8813181010896174,0.41993637327677624,0.10682492581602374,0.1703225806451613,0.8980992608236537,0.49555717407137656,0.6386933258237116,0.00966183574879227,0.0013845621322256837,0.0024220405691795337,,
rr_none,42,none,weights,0.41284335702455277,0.7948949361376523,0.8112124650837989,0.9693595493897987,0.8832628427505583,0.3107104984093319,0.11196025983951088,0.1646067415730337,0.8041182682154171,0.4811246248617912,0.6020357742859966,0.007246376811594203,0.0008167710318540703,0.0014680694886224615,,
rr_none,7,none,weights,0.33974653801890375,0.7442563126606369,0.7565467877094972,0.96310701189021,0.8474211684184796,0.13043478260869565,0.0870488322717622,0.10441426146010187,0.8297254487856388,0.26976225216719596,0.40715072219703347,0.0,0.0,0.0,,
rr_ratios,42,ratios,weights,0.43243274281559163,0.7492201141870549,0.751418470670391,0.9787941669746155,0.8501660432329666,0.35737009544008486,0.19615832363213037,0.2532882375046975,0.8883315733896515,0.46677763906228326,0.6119850868418659,0.12560386473429952,0.007576861430861139,0.014291603682836334,,
rr_ratios,7,ratios,weights,0.44803752751130627,0.8314661853283368,0.8442082751396648,0.9766719684920094,0.905621949363829,0.39660657476139977,0.25287356321839083,0.3088356729975227,0.8761879619852164,0.4300336874838041,0.5769163914479402,0.0024154589371980675,0.0004623208506703652,0.0007760962359332557,,
sampler_ratios,42,ratios,sampler,0.41339105612983695,0.7083325158429634,0.7072931215083799,0.9747082882232647,0.819743032019829,0.3934252386002121,0.24122236671001301,0.29907295445384924,0.8761879619852164,0.38427694801435686,0.5342454728370222,0.004830917874396135,0.00026518164942985947,0.0005027652086475615,,
sampler_ratios,7,ratios,sampler,0.41379584299959943,0.783338892267849,0.7926414106145251,0.9739629421070979,0.873996895941865,0.440084835630965,0.10501012145748988,0.16956077630234934,0.8413410770855333,0.47903201563204567,0.6104779235705392,0.004830917874396135,0.0006512536633018561,0.0011477761836441894,,
aug_invert_ratios_weights,42,ratios,weights,0.41661144514924675,0.7959936431948832,0.803880062849162,0.9764871169547238,0.8818164408483746,0.32343584305408274,0.1449619771863118,0.20019691499835904,0.9046990496304118,0.43041949258980156,0.5833191489361702,0.004830917874396135,0.0006291286568103177,0.001113275814082939,True,True
aug_invert_ratios_weights,7,ratios,weights,0.4705051442865965,0.8106103710098295,0.8203343226256983,0.9765925387093422,0.8916694340338726,0.35418875927889715,0.17075664621676892,0.23042428423594344,0.8930834213305174,0.6571484071484072,0.7571620411817368,0.01932367149758454,0.00148892611204169,0.002764817694833247,True,True
aug_ratios_weights,42,ratios,weights,0.4713503197833335,0.7931095371696522,0.797682437150838,0.9816838995568685,0.8801695180534319,0.41993637327677624,0.32405891980360063,0.3658198614318707,0.9123548046462513,0.48444070647603027,0.6328511261673686,0.04589371980676329,0.003532911863146151,0.006560773480662983,True,
aug_ratios_weights,7,ratios,weights,0.43311263550792145,0.8421785791363378,0.8568653980446927,0.9782012954658694,0.9135219394165,0.3605514316012725,0.22427440633245382,0.27653517690117935,0.8759239704329461,0.3893452241257921,0.5390739236393176,0.004830917874396135,0.0025284450063211127,0.0033195020746887966,True,
aug_ratios_weights,123,ratios,weights,0.4855957830132158,0.8125527281288626,0.8232149092178771,0.9759902719205196,0.8931163065995856,0.295864262990456,0.3739946380697051,0.33037300177619894,0.9004751847940866,0.5973730297723292,0.7182564750473784,0.004830917874396135,0.000341180484476288,0.0006373486297004461,True,
