modelo,record,latidos,errores,n_N,n_S,n_V,n_F,Se_S,+P_S,Se_V,+P_V,Se_F,+P_F
baseline_xgb,100,2271,0,2237,33,1,0,1.0,1.0,1.0,1.0,,
baseline_xgb,103,2082,1,2080,2,0,0,0.5,1.0,,,,
baseline_xgb,105,2565,32,2524,0,41,0,,0.0,0.7805,0.6531,,0.0
baseline_xgb,111,2122,23,2121,0,1,0,,,1.0,0.0417,,
baseline_xgb,113,1793,0,1787,6,0,0,1.0,1.0,,,,
baseline_xgb,117,1533,1455,1532,1,0,0,0.0,,,0.0,,0.0
baseline_xgb,121,1861,1,1859,1,1,0,0.0,,1.0,1.0,,
baseline_xgb,123,1516,10,1513,0,3,0,,0.0,1.0,1.0,,
baseline_xgb,200,2599,54,1742,30,825,2,0.8333,0.3846,0.9733,1.0,0.0,0.0
baseline_xgb,202,2134,226,2059,55,19,1,0.6182,0.8718,0.9474,0.9474,0.0,0.0
baseline_xgb,210,2648,373,2421,22,195,10,0.0909,0.0131,0.8667,0.9389,0.0,0.0
baseline_xgb,212,2746,0,2746,0,0,0,,,,,,
baseline_xgb,213,3249,369,2639,28,220,362,0.1786,1.0,0.8364,0.8889,0.1436,0.7027
baseline_xgb,214,2258,210,2001,0,256,1,,0.0,0.9531,0.6595,0.0,0.0
baseline_xgb,219,2152,619,2080,7,64,1,0.8571,0.0101,0.9844,0.7875,0.0,0.0
baseline_xgb,221,2425,10,2029,0,396,0,,0.0,1.0,1.0,,0.0
baseline_xgb,222,2481,245,2272,209,0,0,0.756,0.4593,,0.0,,0.0
baseline_xgb,228,2051,5,1686,3,362,0,0.3333,0.5,0.9917,1.0,,
baseline_xgb,231,1569,1,1566,1,2,0,0.0,,1.0,1.0,,
baseline_xgb,232,1778,1375,397,1381,0,0,0.0043,1.0,,0.0,,
baseline_xgb,233,3077,1098,2229,7,830,11,0.8571,0.75,0.9928,0.9845,0.0909,0.0009
baseline_xgb,234,2751,75,2698,50,3,0,0.02,1.0,1.0,1.0,,0.0
cnn,100,2271,6,2237,33,1,0,0.8182,1.0,1.0,1.0,,
cnn,103,2082,6,2080,2,0,0,0.0,0.0,,,,0.0
cnn,105,2565,341,2524,0,41,0,,0.0,0.9024,0.1779,,0.0
cnn,111,2122,322,2121,0,1,0,,,1.0,0.0031,,0.0
cnn,113,1793,11,1787,6,0,0,1.0,0.8571,,0.0,,
cnn,117,1533,938,1532,1,0,0,1.0,0.5,,0.0,,0.0
cnn,121,1861,32,1859,1,1,0,1.0,1.0,1.0,0.0357,,0.0
cnn,123,1516,4,1513,0,3,0,,0.0,1.0,1.0,,
cnn,200,2599,106,1742,30,825,2,0.5,0.1667,0.943,1.0,0.0,0.0
cnn,202,2134,1440,2059,55,19,1,0.6364,0.6863,1.0,0.1743,1.0,0.0008
cnn,210,2648,1951,2421,22,195,10,0.2727,0.1935,0.8256,0.5897,0.0,0.0
cnn,212,2746,24,2746,0,0,0,,0.0,,0.0,,0.0
cnn,213,3249,390,2639,28,220,362,0.1786,1.0,0.9773,0.7338,0.0028,1.0
cnn,214,2258,1949,2001,0,256,1,,0.0,0.9727,0.2041,0.0,0.0
cnn,219,2152,1009,2080,7,64,1,0.0,0.0,0.9844,0.0681,0.0,0.0
cnn,221,2425,1047,2029,0,396,0,,0.0,0.9949,0.9563,,0.0
cnn,222,2481,636,2272,209,0,0,0.7416,0.27,,0.0,,0.0
cnn,228,2051,572,1686,3,362,0,0.3333,0.05,0.989,0.5917,,0.0
cnn,231,1569,3,1566,1,2,0,0.0,0.0,1.0,1.0,,0.0
cnn,232,1778,610,397,1381,0,0,0.559,0.9987,,0.0,,
cnn,233,3077,1965,2229,7,830,11,0.0,0.0,0.9771,0.7145,0.0909,0.0006
cnn,234,2751,1341,2698,50,3,0,0.0,,1.0,0.6,,0.0
