record,mediana_rr,lpm,dentro_rango_ds1,latidos,latidos_S
1,0.642,93.5,True,2755,0
2,0.661,90.8,True,2672,0
3,0.728,82.4,True,2450,2
4,0.667,90.0,True,2422,16
5,1.056,56.8,True,1774,0
6,0.722,83.1,True,2491,48
7,0.667,90.0,True,2704,65
8,0.844,71.1,True,2128,2
9,0.6,100.0,True,2987,0
10,0.489,122.7,False,3680,0
11,0.778,77.1,True,2080,0
12,0.653,91.9,True,2807,1
13,0.944,63.5,True,2021,0
14,0.996,60.3,True,1864,0
15,0.692,86.7,True,2633,0
16,1.189,50.5,False,1520,0
17,1.117,53.7,True,1671,0
18,0.547,109.6,False,3082,0
19,0.822,73.0,True,2060,0
20,0.642,93.5,True,2650,179
21,0.817,73.5,True,2182,104
22,0.564,106.4,True,3124,124
23,0.8,75.0,True,2203,0
24,0.697,86.1,True,2569,0
25,1.086,55.2,True,1710,2
26,1.261,47.6,False,1507,7
27,0.686,87.4,True,2603,0
28,1.047,57.3,True,1715,0
29,0.651,92.1,True,2618,0
30,0.708,84.7,True,2460,0
31,0.514,116.8,False,3207,0
32,1.128,53.2,False,1617,0
33,1.025,58.5,True,1835,589
34,0.972,61.7,True,1963,536
35,0.469,127.8,False,3674,0
36,0.444,135.0,False,3909,0
37,0.719,83.4,True,2459,0
38,0.661,90.8,True,2696,0
39,1.122,53.5,False,1773,0
40,0.672,89.3,True,2664,6
41,1.086,55.2,True,1628,5
42,0.481,124.9,False,3107,0
43,0.475,126.3,False,2207,0
44,0.722,83.1,True,2493,8
45,0.958,62.6,True,1926,0
46,0.639,93.9,True,2656,1
47,0.947,63.3,True,1951,1
48,0.753,79.7,True,2355,2
49,0.847,70.8,True,2145,0
50,0.589,101.9,True,2996,0
51,0.581,103.3,True,2775,3
52,1.05,57.1,True,1745,0
53,0.733,81.8,True,2260,0
54,0.775,77.4,True,2361,1
55,0.831,72.2,True,2164,1
56,1.144,52.4,False,1703,26
57,0.614,97.7,True,2867,3
58,0.783,76.6,True,2323,0
59,0.756,79.4,True,2146,0
60,0.694,86.4,True,2473,0
61,1.242,48.3,False,1452,1
62,0.775,77.4,True,2267,9
63,0.914,65.7,True,1992,1
64,0.944,63.5,True,1911,0
65,0.689,87.1,True,2662,5
66,0.794,75.5,True,2338,1
67,0.589,101.9,True,2973,5
68,0.681,88.2,True,2642,2
69,0.828,72.5,True,2167,1
70,1.106,54.3,True,1664,126
71,1.153,52.0,False,1668,35
72,0.789,76.1,True,2268,8
73,0.919,65.3,True,1990,32
74,0.739,81.2,True,2403,0
75,0.844,71.1,True,2101,0
