modelo,clase,Se,+P,F1,TP,FN,FP,n
v1_rr_absoluto,N,0.9725,0.9904,0.9813,149317,4224,1454,153541
v1_rr_absoluto,S,0.7937,0.3534,0.4891,1554,404,2843,1958
v1_rr_absoluto,V,0.8721,0.905,0.8883,17442,2558,1830,20000
v1_rr_absoluto,F,0.3744,0.0642,0.1096,82,137,1196,219
v2_rr_normalizado,N,0.9789,0.9912,0.985,150300,3241,1330,153541
v2_rr_normalizado,S,0.8427,0.3734,0.5175,1650,308,2769,1958
v2_rr_normalizado,V,0.8654,0.9171,0.8905,17309,2691,1565,20000
v2_rr_normalizado,F,0.3288,0.0906,0.142,72,147,723,219
cnn,N,0.8237,0.9948,0.9012,126479,27062,656,153541
cnn,S,0.6389,0.1342,0.2218,1251,707,8069,1958
cnn,V,0.8008,0.6522,0.7189,16017,3983,8540,20000
cnn,F,0.4201,0.0063,0.0123,92,127,14614,219
