modelo,record,latidos,errores,n_N,n_S,n_V,n_F,Se_S,+P_S,Se_V,+P_V,Se_F,+P_F
v1_rr_absoluto,1,2755,33,2411,0,344,0,,0.0,0.9709,0.9489,,0.0
v1_rr_absoluto,2,2672,108,2443,0,229,0,,0.0,0.9301,0.873,,0.0
v1_rr_absoluto,3,2450,83,2323,2,125,0,0.0,0.0,0.352,1.0,,
v1_rr_absoluto,4,2422,133,2268,16,121,17,0.0625,0.125,0.6198,0.7979,0.0,0.0
v1_rr_absoluto,5,1774,451,1518,0,247,9,,0.0,0.5789,0.315,0.1111,0.0312
v1_rr_absoluto,6,2491,20,2434,48,9,0,0.9583,0.7188,1.0,1.0,,
v1_rr_absoluto,7,2704,19,2638,65,1,0,0.8308,0.9,1.0,0.1667,,
v1_rr_absoluto,8,2128,41,1776,2,350,0,0.5,0.027,0.9829,0.9914,,0.0
v1_rr_absoluto,9,2987,194,2946,0,41,0,,0.0,0.9024,0.7115,,0.0
v1_rr_absoluto,10,3680,322,3597,0,83,0,,0.0,1.0,0.686,,0.0
v1_rr_absoluto,11,2080,30,2076,0,4,0,,0.0,0.75,1.0,,
v1_rr_absoluto,12,2807,533,2798,1,6,2,1.0,1.0,0.5,0.75,0.5,0.0019
v1_rr_absoluto,13,2021,76,1791,0,230,0,,0.0,1.0,1.0,,
v1_rr_absoluto,14,1864,40,1800,0,64,0,,0.0,0.9688,1.0,,
v1_rr_absoluto,15,2633,1,2630,0,3,0,,0.0,0.6667,1.0,,
v1_rr_absoluto,16,1520,936,1518,0,2,0,,0.0,0.5,0.0011,,
v1_rr_absoluto,17,1671,209,1644,0,27,0,,0.0,0.0,0.0,,
v1_rr_absoluto,18,3082,58,2660,0,366,56,,0.0,0.9672,0.9916,0.8393,0.5
v1_rr_absoluto,19,2060,729,1211,0,849,0,,0.0,0.1885,1.0,,0.0
v1_rr_absoluto,20,2650,145,2360,179,110,1,0.581,0.7536,0.4727,1.0,0.0,0.0
v1_rr_absoluto,21,2182,57,2070,104,8,0,0.5962,0.8052,0.875,1.0,,
v1_rr_absoluto,22,3124,221,2814,124,185,1,0.4758,0.3856,0.5892,1.0,0.0,0.0
v1_rr_absoluto,23,2203,0,2190,0,13,0,,,1.0,1.0,,
v1_rr_absoluto,24,2569,1,2563,0,6,0,,,1.0,0.8571,,
v1_rr_absoluto,25,1710,2,1703,2,5,0,1.0,0.5,0.6,1.0,,
v1_rr_absoluto,26,1507,5,1496,7,4,0,0.8571,1.0,0.0,,,
v1_rr_absoluto,27,2603,2,1884,0,719,0,,0.0,0.9986,0.9986,,
v1_rr_absoluto,28,1715,0,1711,0,4,0,,,1.0,1.0,,
v1_rr_absoluto,29,2618,171,1835,0,783,0,,0.0,0.7905,0.9904,,0.0
v1_rr_absoluto,30,2460,200,1705,0,755,0,,0.0,0.7351,1.0,,0.0
v1_rr_absoluto,31,3207,289,1843,0,1364,0,,0.0,0.8292,0.9528,,0.0
v1_rr_absoluto,32,1617,26,1560,0,57,0,,0.0,0.9474,1.0,,
v1_rr_absoluto,33,1835,51,1245,589,1,0,0.9185,0.9945,1.0,0.2,,
v1_rr_absoluto,34,1963,36,1427,536,0,0,0.9422,0.9902,,0.0,,
v1_rr_absoluto,35,3674,256,3199,0,457,18,,0.0,0.7527,0.9971,0.6667,0.0517
v1_rr_absoluto,36,3909,342,3447,0,450,12,,0.0,0.8356,0.9843,0.5833,0.0486
v1_rr_absoluto,37,2459,5,2007,0,452,0,,,0.9978,1.0,,0.0
v1_rr_absoluto,38,2696,9,2153,0,543,0,,0.0,0.9853,1.0,,0.0
v1_rr_absoluto,39,1773,1,1460,0,313,0,,0.0,0.9968,1.0,,
v1_rr_absoluto,40,2664,11,2566,6,92,0,0.3333,0.6667,1.0,0.92,,
v1_rr_absoluto,41,1628,9,1622,5,1,0,0.2,0.25,0.0,0.0,,
v1_rr_absoluto,42,3107,16,1544,0,1554,9,,,0.9936,0.9981,0.6667,0.3529
v1_rr_absoluto,43,2207,31,1085,0,1120,2,,0.0,0.9777,1.0,0.0,
v1_rr_absoluto,44,2493,7,1802,8,683,0,0.25,1.0,1.0,1.0,,0.0
v1_rr_absoluto,45,1926,4,1435,0,491,0,,,0.9919,1.0,,0.0
v1_rr_absoluto,46,2656,19,2230,1,422,3,1.0,0.25,0.981,0.9976,1.0,0.1667
v1_rr_absoluto,47,1951,115,1857,1,93,0,0.0,0.0,0.9892,0.7077,,0.0
v1_rr_absoluto,48,2355,92,2117,2,235,1,0.5,0.011,1.0,0.9916,1.0,1.0
v1_rr_absoluto,49,2145,16,2118,0,27,0,,0.0,1.0,1.0,,
v1_rr_absoluto,50,2996,104,2992,0,4,0,,0.0,0.5,0.6667,,0.0
v1_rr_absoluto,51,2775,19,1969,3,802,1,0.3333,0.1429,1.0,1.0,0.0,0.0
v1_rr_absoluto,52,1745,0,1608,0,137,0,,,1.0,1.0,,
v1_rr_absoluto,53,2260,4,1150,0,1110,0,,0.0,0.9982,0.9991,,0.0
v1_rr_absoluto,54,2361,6,2338,1,22,0,0.0,,0.9545,0.8077,,
v1_rr_absoluto,55,2164,1,2146,1,17,0,0.0,,1.0,0.9444,,
v1_rr_absoluto,56,1703,26,1670,26,7,0,0.0,,1.0,0.2121,,
v1_rr_absoluto,57,2867,12,2840,3,21,3,0.3333,0.2,1.0,0.8077,0.0,0.0
v1_rr_absoluto,58,2323,2,2311,0,12,0,,0.0,1.0,1.0,,
v1_rr_absoluto,59,2146,24,2065,0,81,0,,0.0,0.7407,1.0,,
v1_rr_absoluto,60,2473,3,2473,0,0,0,,0.0,,,,0.0
v1_rr_absoluto,61,1452,1,1451,1,0,0,0.0,,,,,
v1_rr_absoluto,62,2267,469,1451,9,795,12,0.0,0.0,0.4377,0.9971,0.0,0.0
v1_rr_absoluto,63,1992,42,1845,1,138,8,1.0,0.1429,0.7609,1.0,0.0,
v1_rr_absoluto,64,1911,6,1885,0,23,3,,,0.8696,1.0,0.0,
v1_rr_absoluto,65,2662,128,2271,5,382,4,0.6,0.0349,0.9188,0.9943,1.0,0.1
v1_rr_absoluto,66,2338,25,2137,1,200,0,0.0,0.0,0.98,1.0,,
