record,mediana_rr,lpm,dentro_rango_ds1,latidos,latidos_S
800,0.922,65.1,True,1880,30
801,0.75,80.0,True,2507,66
802,1.047,57.3,True,1669,0
803,0.875,68.6,True,2065,0
804,0.639,93.9,True,2832,0
805,0.85,70.6,True,2296,0
806,0.594,100.9,True,3019,40
807,0.944,63.5,True,1940,29
808,1.022,58.7,True,1772,20
809,0.725,82.8,True,2542,112
810,0.953,63.0,True,1901,8
811,1.272,47.2,False,1433,1
812,0.969,61.9,True,1840,14
820,0.772,77.7,True,2349,185
821,0.578,103.8,True,3130,614
822,0.75,80.0,True,2332,658
823,0.65,92.3,True,2859,382
824,0.758,79.1,True,2417,196
825,0.65,92.3,True,2796,145
826,0.686,87.4,True,2659,80
827,0.978,61.4,True,1860,18
828,0.961,62.4,True,1911,150
829,0.922,65.1,True,1965,80
840,0.758,79.1,True,2384,44
841,1.022,58.7,True,1849,106
842,0.733,81.8,True,2557,104
843,0.658,91.1,True,2706,21
844,1.083,55.4,True,1707,59
845,0.633,94.7,True,2883,27
846,1.081,55.5,True,1679,20
847,1.108,54.1,True,1760,51
848,0.444,135.0,False,4257,30
849,0.892,67.3,True,2138,74
850,0.975,61.5,True,1836,7
851,0.689,87.1,True,2626,32
852,0.681,88.2,True,2662,321
853,0.811,74.0,True,2217,48
854,0.658,91.1,True,2726,460
855,0.719,83.4,True,2537,227
856,0.633,94.7,True,2850,12
857,0.717,83.7,True,2582,38
858,0.828,72.5,True,2178,8
859,0.5,120.0,False,3540,69
860,0.758,79.1,True,2416,17
861,0.725,82.8,True,2469,569
862,0.797,75.3,True,2181,26
863,0.581,103.3,True,3121,321
864,0.969,61.9,True,1893,19
865,0.447,134.2,False,3153,1818
866,0.733,81.8,True,2664,167
867,0.492,122.0,False,2998,136
868,0.544,110.2,False,3334,227
869,0.908,66.1,True,2159,631
870,0.656,91.5,True,2676,454
871,0.975,61.5,True,1794,12
872,0.914,65.7,True,1979,9
873,1.069,56.1,True,1665,15
874,0.806,74.5,True,2238,9
875,0.883,67.9,True,2049,8
876,0.858,69.9,True,2139,135
877,0.914,65.7,True,2036,196
878,0.936,64.1,True,1909,64
879,0.883,67.9,True,2060,48
880,0.522,114.9,False,3485,241
881,0.775,77.4,True,2258,628
882,0.931,64.5,True,1933,41
883,0.986,60.8,True,1818,40
884,0.625,96.0,True,2880,53
885,0.936,64.1,True,1957,399
886,0.811,74.0,True,2221,26
887,0.647,92.7,True,2687,125
888,0.783,76.6,True,2311,68
889,1.047,57.3,True,1707,152
890,0.836,71.8,True,2172,74
891,0.694,86.4,True,2604,277
892,0.642,93.5,True,2840,523
893,0.717,83.7,True,2526,0
894,0.775,77.4,True,2344,80
