modelo,clase,Se,+P,F1,TP,FN,FP,n
v1_rr_absoluto,N,0.9029,0.9608,0.931,146447,15746,5972,162193
v1_rr_absoluto,S,0.2773,0.4397,0.3402,3382,8812,4309,12194
v1_rr_absoluto,V,0.8899,0.3652,0.5179,8843,1094,15371,9937
v2_rr_normalizado,N,0.9254,0.9626,0.9437,150096,12097,5825,162193
v2_rr_normalizado,S,0.2809,0.588,0.3802,3425,8769,2400,12194
v2_rr_normalizado,V,0.882,0.3882,0.5391,8764,1173,13814,9937
v3_3clases,N,0.923,0.9606,0.9414,149703,12490,6139,162193
v3_3clases,S,0.265,0.5976,0.3672,3232,8962,2176,12194
v3_3clases,V,0.8742,0.3765,0.5263,8687,1250,14387,9937
v4_morfologia_relativa,N,0.967,0.9582,0.9626,156837,5356,6835,162193
v4_morfologia_relativa,S,0.3046,0.6182,0.4081,3714,8480,2294,12194
v4_morfologia_relativa,V,0.8951,0.6074,0.7237,8895,1042,5749,9937
