modelo,record,latidos,errores,n_N,n_S,n_V,Se_S,+P_S,Se_V,+P_V
v1_rr_absoluto,800,1880,23,1844,30,6,0.2333,1.0,1.0,0.3529
v1_rr_absoluto,801,2507,316,2173,66,268,0.0,,1.0,0.4589
v1_rr_absoluto,802,1669,0,1584,0,85,,,1.0,1.0
v1_rr_absoluto,803,2065,0,1922,0,143,,,1.0,1.0
v1_rr_absoluto,804,2832,653,2651,0,181,,0.0,0.9724,0.88
v1_rr_absoluto,805,2296,181,2089,0,207,,0.0,1.0,0.8214
v1_rr_absoluto,806,3019,28,2950,40,29,0.875,0.614,0.2414,1.0
v1_rr_absoluto,807,1940,16,1911,29,0,0.4483,1.0,,0.0
v1_rr_absoluto,808,1772,19,1744,20,8,0.05,1.0,1.0,0.7273
v1_rr_absoluto,809,2542,107,2430,112,0,0.0446,1.0,,0.0
v1_rr_absoluto,810,1901,4,1837,8,56,0.5,1.0,1.0,0.9655
v1_rr_absoluto,811,1433,22,1404,1,28,0.0,0.0,0.3214,1.0
v1_rr_absoluto,812,1840,52,1756,14,70,0.4286,0.12,0.4571,1.0
v1_rr_absoluto,820,2349,159,2161,185,3,0.1405,1.0,1.0,0.0185
v1_rr_absoluto,821,3130,454,2480,614,36,0.601,0.6989,0.3889,0.0476
v1_rr_absoluto,822,2332,657,1673,658,1,0.0015,1.0,1.0,1.0
v1_rr_absoluto,823,2859,318,2477,382,0,0.1728,0.9706,,0.0
v1_rr_absoluto,824,2417,51,2214,196,7,0.8112,0.9191,0.7143,0.5
v1_rr_absoluto,825,2796,149,2651,145,0,0.0,0.0,,0.0
v1_rr_absoluto,826,2659,369,2579,80,0,0.8,0.1645,,0.0
v1_rr_absoluto,827,1860,3,1842,18,0,0.8889,0.9412,,
v1_rr_absoluto,828,1911,45,1755,150,6,0.7467,0.9573,1.0,0.1304
v1_rr_absoluto,829,1965,44,1885,80,0,0.6375,0.8226,,0.0
v1_rr_absoluto,840,2384,7,2339,44,1,0.9091,0.9302,1.0,1.0
v1_rr_absoluto,841,1849,1511,1489,106,254,0.0,,1.0,0.1439
v1_rr_absoluto,842,2557,231,2392,104,61,0.4423,0.3007,0.3279,0.2469
v1_rr_absoluto,843,2706,32,2647,21,38,0.5714,0.5,0.6842,0.963
v1_rr_absoluto,844,1707,14,1648,59,0,0.8305,0.9245,,0.0
v1_rr_absoluto,845,2883,254,2826,27,30,0.4074,0.0558,0.4333,0.1857
v1_rr_absoluto,846,1679,15,1659,20,0,0.25,1.0,,
v1_rr_absoluto,847,1760,36,1665,51,44,0.2941,1.0,1.0,0.9362
v1_rr_absoluto,848,4257,1097,4226,30,1,0.7667,0.0247,0.0,0.0
v1_rr_absoluto,849,2138,118,2058,74,6,0.2973,0.4151,0.3333,0.0278
v1_rr_absoluto,850,1836,914,1829,7,0,0.0,,,0.0
v1_rr_absoluto,851,2626,44,2167,32,427,0.1562,0.4545,1.0,0.9661
v1_rr_absoluto,852,2662,459,2332,321,9,0.0748,0.2759,0.8889,0.0225
v1_rr_absoluto,853,2217,83,2105,48,64,0.4583,0.386,0.9844,0.5676
v1_rr_absoluto,854,2726,355,1788,460,478,0.4761,0.8295,0.8619,0.8879
v1_rr_absoluto,855,2537,141,2034,227,276,0.8062,0.6828,0.9493,0.9887
v1_rr_absoluto,856,2850,16,2810,12,28,0.0,,0.8929,0.9615
v1_rr_absoluto,857,2582,184,2400,38,144,0.0,0.0,0.75,0.4252
v1_rr_absoluto,858,2178,4,2167,8,3,0.5,1.0,1.0,1.0
v1_rr_absoluto,859,3540,486,3007,69,464,0.3043,0.2727,0.9612,0.5284
v1_rr_absoluto,860,2416,12,1672,17,727,0.7647,0.619,1.0,1.0
v1_rr_absoluto,861,2469,588,1873,569,27,0.1142,0.8125,0.8889,0.0455
v1_rr_absoluto,862,2181,1710,2132,26,23,0.0,,0.913,0.0121
v1_rr_absoluto,863,3121,154,2560,321,240,0.567,0.9579,0.9417,1.0
v1_rr_absoluto,864,1893,68,1742,19,132,0.1053,0.0488,0.6136,0.9
v1_rr_absoluto,865,3153,1846,1101,1818,234,0.0022,0.3333,0.8889,0.7591
v1_rr_absoluto,866,2664,532,2050,167,447,0.0898,0.2027,0.9553,0.4836
v1_rr_absoluto,867,2998,1139,2787,136,75,0.5368,0.077,0.88,0.2082
v1_rr_absoluto,868,3334,2843,2552,227,555,0.0573,0.1646,0.3856,0.0795
v1_rr_absoluto,869,2159,319,1506,631,22,0.5372,0.9658,0.5455,0.0513
v1_rr_absoluto,870,2676,416,1785,454,437,0.2225,0.8145,0.8741,0.8396
v1_rr_absoluto,871,1794,12,1774,12,8,0.0833,1.0,1.0,0.4
v1_rr_absoluto,872,1979,0,1896,9,74,1.0,1.0,1.0,1.0
v1_rr_absoluto,873,1665,32,1624,15,26,0.4667,1.0,0.0769,1.0
v1_rr_absoluto,874,2238,18,2188,9,41,0.1111,0.3333,1.0,0.7193
v1_rr_absoluto,875,2049,105,1944,8,97,0.0,,0.9897,0.4824
v1_rr_absoluto,876,2139,116,2004,135,0,0.7704,0.5778,,0.0
v1_rr_absoluto,877,2036,75,1839,196,1,0.7143,0.8974,1.0,0.0227
v1_rr_absoluto,878,1909,58,1589,64,256,0.1406,1.0,1.0,0.8889
v1_rr_absoluto,879,2060,21,1470,48,542,0.5625,1.0,1.0,0.9855
v1_rr_absoluto,880,3485,3036,3103,241,141,0.0,0.0,0.695,0.0326
v1_rr_absoluto,881,2258,605,1323,628,307,0.2532,0.7644,0.7394,0.47
v1_rr_absoluto,882,1933,23,1887,41,5,0.439,1.0,1.0,0.1923
v1_rr_absoluto,883,1818,37,1771,40,7,0.125,1.0,0.7143,0.1724
v1_rr_absoluto,884,2880,65,2484,53,343,0.1321,1.0,0.9796,0.9628
v1_rr_absoluto,885,1957,295,1504,399,54,0.2857,0.9421,0.9259,0.7246
v1_rr_absoluto,886,2221,661,2168,26,27,0.0,,0.963,0.0379
v1_rr_absoluto,887,2687,129,2352,125,210,0.032,1.0,0.9762,0.967
v1_rr_absoluto,888,2311,47,2189,68,54,0.4853,0.9167,0.8148,0.6875
v1_rr_absoluto,889,1707,106,1464,152,91,0.3684,0.9655,0.967,0.6718
v1_rr_absoluto,890,2172,103,2001,74,97,0.0,,0.9278,0.4839
v1_rr_absoluto,891,2604,306,2120,277,207,0.0181,0.8333,0.9179,0.4139
v1_rr_absoluto,892,2840,343,1740,523,577,0.3748,0.9849,0.9723,0.8962
v1_rr_absoluto,893,2526,115,2188,0,338,,0.0,0.9645,0.9819
v1_rr_absoluto,894,2344,46,2211,80,53,0.55,0.8148,0.8302,0.7458
v2_rr_normalizado,800,1880,23,1844,30,6,0.3667,0.7857,1.0,0.25
v2_rr_normalizado,801,2507,443,2173,66,268,0.0,,0.9963,0.3771
v2_rr_normalizado,802,1669,1,1584,0,85,,0.0,0.9882,1.0
v2_rr_normalizado,803,2065,14,1922,0,143,,0.0,1.0,1.0
v2_rr_normalizado,804,2832,476,2651,0,181,,0.0,0.9558,0.9558
v2_rr_normalizado,805,2296,148,2089,0,207,,0.0,1.0,0.8415
v2_rr_normalizado,806,3019,29,2950,40,29,0.825,0.6226,0.2414,1.0
v2_rr_normalizado,807,1940,11,1911,29,0,0.6207,1.0,,0.0
v2_rr_normalizado,808,1772,15,1744,20,8,0.25,1.0,1.0,0.7273
v2_rr_normalizado,809,2542,105,2430,112,0,0.0625,1.0,,0.0
v2_rr_normalizado,810,1901,4,1837,8,56,0.625,0.8333,1.0,0.9655
v2_rr_normalizado,811,1433,34,1404,1,28,1.0,0.0357,0.3571,1.0
v2_rr_normalizado,812,1840,44,1756,14,70,0.7143,0.2,0.5429,1.0
v2_rr_normalizado,820,2349,157,2161,185,3,0.1514,1.0,1.0,0.019
v2_rr_normalizado,821,3130,583,2480,614,36,0.1873,0.9274,0.5556,0.0377
v2_rr_normalizado,822,2332,658,1673,658,1,0.0015,1.0,1.0,0.5
v2_rr_normalizado,823,2859,218,2477,382,0,0.4372,0.9824,,0.0
v2_rr_normalizado,824,2417,68,2214,196,7,0.8367,0.82,0.7143,0.5
v2_rr_normalizado,825,2796,148,2651,145,0,0.0,,,0.0
v2_rr_normalizado,826,2659,340,2579,80,0,0.7625,0.168,,0.0
v2_rr_normalizado,827,1860,3,1842,18,0,0.9444,0.8947,,
v2_rr_normalizado,828,1911,52,1755,150,6,0.7267,0.9237,1.0,0.1224
v2_rr_normalizado,829,1965,60,1885,80,0,0.5375,0.7288,,0.0
v2_rr_normalizado,840,2384,6,2339,44,1,0.9318,0.9535,1.0,0.5
v2_rr_normalizado,841,1849,1355,1489,106,254,0.0,,1.0,0.1579
v2_rr_normalizado,842,2557,204,2392,104,61,0.4231,0.2857,0.3607,0.3438
v2_rr_normalizado,843,2706,40,2647,21,38,0.4762,0.3704,0.6053,0.9583
v2_rr_normalizado,844,1707,22,1648,59,0,0.8983,0.791,,0.0
v2_rr_normalizado,845,2883,144,2826,27,30,0.1852,0.0862,0.4,0.1463
v2_rr_normalizado,846,1679,4,1659,20,0,0.85,1.0,,0.0
v2_rr_normalizado,847,1760,32,1665,51,44,0.3922,1.0,1.0,0.898
v2_rr_normalizado,848,4257,312,4226,30,1,0.8,0.0741,0.0,0.0
v2_rr_normalizado,849,2138,160,2058,74,6,0.3784,0.2435,0.3333,0.0303
v2_rr_normalizado,850,1836,774,1829,7,0,0.0,,,0.0
